"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.12.24 1:45 AM GMT","Charlotte Motor Speedway - Oval - 2018","NASCAR iRacing National Series","2020","1","N/A","3","4011",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","154378","154378","Collin Bowden","7","13","0","Running","-00.000","2","","30.696","30.124","5","35","2","239","23","1","17","Virginias","3904","4006","17","144","17","153","NASCAR iRacing National Series","100","0","239"
"2","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","88718","88718","Kollin Keister","1","1","0","Running","-00.701","33","","30.716","29.934","7","35","0","228","21","1","18","Atlantic","8040","8058","27","363","27","374","NASCAR iRacing National Series","100","0","228"
"3","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","15583","15583","Thomas Lewandowski","6","6","0","Running","-01.628","0","","30.742","30.029","5","35","0","218","19","1","14","New York","5043","5102","20","499","20","499","NASCAR iRacing National Series","100","0","218"
"4","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","74397","74397","Brandon Hauff","2","2","0","Running","-02.449","0","","30.766","29.887","6","35","0","207","17","1","14","New York","6091","6121","19","350","19","361","NASCAR iRacing National Series","100","0","207"
"5","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","31096","31096","Jeremy B Davis","5","5","0","Running","-03.905","0","","30.807","30.083","5","35","0","197","15","1","6","California Club","5075","5117","20","408","20","416","NASCAR iRacing National Series","100","0","197"
"6","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","125274","125274","Jordy Lopez Jr","3","3","0","Running","-04.082","0","","30.813","29.894","5","35","1","187","13","1","19","New Jersey","5815","5833","20","417","20","421","NASCAR iRacing National Series","100","0","187"
"7","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","25930","25930","Michael Smith","10","8","0","Running","-04.150","0","","30.814","30.050","5","35","1","176","11","1","17","Virginias","4712","4745","20","499","20","499","NASCAR iRacing National Series","100","0","176"
"8","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","275525","275525","Vinnie Tigner","4","9","0","Running","-05.019","0","","30.839","30.076","5","35","0","166","9","1","12","New England","4516","4545","20","405","20","413","NASCAR iRacing National Series","100","0","166"
"9","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","339757","339757","Tyler Logan","17","22","0","Running","-07.459","0","","30.909","30.193","7","35","0","155","7","2","25","Carolina","3137","3192","18","292","19","350","NASCAR iRacing National Series","100","0","155"
"10","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","90612","90612","Jr Borborema","11","7","0","Running","-08.286","0","","30.932","30.027","5","35","0","145","5","1","45","Brazil","4903","4907","20","419","20","427","NASCAR iRacing National Series","100","0","145"
"11","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","45261","45261","Matt Bontempi","21","10","0","Running","-08.291","0","","30.932","30.019","6","35","1","135","3","1","16","Pennsylvania","4399","4406","19","344","19","350","NASCAR iRacing National Series","100","0","135"
"12","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","68741","68741","Mitchell Mumma","16","16","0","Running","-10.795","0","","31.004","30.124","7","35","2","124","1","1","16","Pennsylvania","3611","3629","17","153","17","165","NASCAR iRacing National Series","100","0","124"
"13","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","110909","110909","Tyler Sifford","9","4","0","Running","-12.688","0","","31.058","30.084","5","35","3","114","0","1","25","Carolina","5170","5144","19","359","19","355","NASCAR iRacing National Series","100","0","114"
"14","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","91869","91869","Chris Wetz","19","21","0","Running","-14.974","0","","31.123","30.174","10","35","0","103","0","2","30","Texas","3142","3155","15","362","15","370","NASCAR iRacing National Series","100","0","103"
"15","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","17635","17635","Todd Laribee","13","18","0","Running","-15.018","0","","31.125","30.091","5","35","6","93","0","2","14","New York","3335","3336","19","302","18","249","NASCAR iRacing National Series","100","0","93"
"16","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","282393","282393","Ryan Decker","23","23","0","Running","-16.341","0","","31.162","30.181","5","35","1","83","0","2","23","Mid-South","2866","2869","15","352","15","359","NASCAR iRacing National Series","100","0","83"
"17","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","84478","84478","Gregory Thompson","22","12","0","Running","-17.115","0","","31.184","30.557","6","35","2","72","0","1","32","West","4090","4055","20","480","20","475","NASCAR iRacing National Series","100","0","72"
"18","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","106668","106668","Justin Egan","24","24","0","Running","-17.882","0","","31.206","30.271","8","35","0","62","0","2","25","Carolina","2731","2722","20","453","20","461","NASCAR iRacing National Series","100","0","62"
"19","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","122330","122330","Joshua Soucy","15","19","0","Running","-18.056","0","","31.211","30.118","5","35","2","51","0","2","23","Mid-South","3267","3236","19","366","19","366","NASCAR iRacing National Series","100","0","51"
"20","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","183239","183239","Gabriel Mauricio","20","11","0","Running","-21.059","0","","31.297","30.073","6","35","5","41","0","1","45","Brazil","4157","4096","18","245","18","238","NASCAR iRacing National Series","100","0","41"
"21","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","296654","296654","EJ Jones","12","15","0","Running","-2 L","0","","32.892","30.323","10","33","7","31","0","1","30","Texas","3730","3671","19","375","19","349","NASCAR iRacing National Series","100","0","31"
"22","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","408201","408201","Jordan Brinkley","8","14","0","Running","-8 L","0","","32.800","30.301","11","27","6","20","0","1","25","Carolina","3872","3801","15","312","15","306","NASCAR iRacing National Series","100","0","20"
"23","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","305637","305637","Oliver Cordell","14","17","32","Disconnected","-25 L","0","","35.459","30.150","8","10","2","10","0","2","23","Mid-South","3521","3451","19","311","19","302","NASCAR iRacing National Series","100","0","10"
"24","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","380578","380578","Micky Rogers","18","20","0","Running","-32 L","0","","35.202","","","3","5","5","0","2","1","International Club","3209","3139","15","347","15","333","NASCAR iRacing National Series","100","0","5"
