"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.12.24 4:00 AM GMT","Lime Rock Park - Grand Prix","Global Mazda MX-5 Cup","2020","1","A","3","1377",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","377002","377002","Jonathan Adams7","3","5","0","Running","-00.000","17","","1:04.608","1:03.083","6","20","2","81","0","0","27","Indiana","1368","1459","7","358","7","371","Global Mazda MX-5 Cup","100","0","81"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","270827","270827","Zachary Chitty","2","10","0","Running","-01.759","3","","1:04.696","1:03.252","4","20","13","73","0","0","15","Canada","1348","1424","6","289","6","282","Global Mazda MX-5 Cup","100","0","73"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","382799","382799","Edgard Castellano","7","7","0","Running","-05.360","0","","1:04.876","1:02.806","9","20","9","66","0","0","18","Atlantic","1291","1353","10","251","10","250","Global Mazda MX-5 Cup","100","0","66"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","297565","297565","Gabriel Filgueiras","5","4","0","Running","-12.523","0","","1:05.234","1:03.284","4","20","3","58","0","0","45","Brazil","1379","1420","7","371","7","379","Global Mazda MX-5 Cup","100","0","58"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","418979","418979","Gabriele Farina","9","8","0","Running","-13.880","0","","1:05.301","1:03.440","16","20","3","51","0","0","30","Texas","1361","1386","6","258","6","272","Global Mazda MX-5 Cup","100","0","51"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","411702","411702","David Klopotoski","6","12","0","Running","-58.884","0","","1:07.552","1:05.259","14","20","4","44","0","0","12","New England","1334","1344","7","357","7","364","Global Mazda MX-5 Cup","100","0","44"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","421932","421932","Kacey Mann","1","9","0","Running","-1 L","0","","1:07.616","1:03.116","6","19","3","36","0","0","34","Australia/NZ","","","2","274","2","294","Global Mazda MX-5 Cup","100","0","36"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","419194","419194","John Yates3","10","11","0","Running","-1 L","0","","1:06.955","1:03.257","10","19","15","29","0","0","32","West","1336","1313","7","350","7","334","Global Mazda MX-5 Cup","100","0","29"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","359150","359150","Darwin Romero","8","6","32","Disconnected","-15 L","0","","1:07.717","","","5","15","22","0","0","38","Iberia","1366","1325","5","143","5","125","Global Mazda MX-5 Cup","100","0","22"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","127377","127377","Daniel Trotier","4","1","32","Disconnected","-20 L","0","","00.000","","","0","4","0","0","0","29","Midwest","1396","1320","10","258","10","245","Global Mazda MX-5 Cup","100","0","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","413686","413686","Fernando Paulino","11","2","32","Disconnected","-20 L","0","","00.000","","","0","0","0","0","0","14","New York","1395","1319","6","220","6","218","Global Mazda MX-5 Cup","100","0","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","268039","268039","Carlos Ciudad","12","3","32","Disconnected","-20 L","0","","00.000","","","0","0","0","0","0","38","Iberia","1386","1311","6","278","6","276","Global Mazda MX-5 Cup","100","0","0"
