"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.12.17 1:45 AM GMT","Talladega Superspeedway","NASCAR iRacing National Series","2020","1","N/A","2","3855",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","72532","72532","Blake Bryant","6","2","0","Running","-00.000","9","","48.588","47.739","20","20","0","230","22","1","25","Carolina","6346","6392","20","421","20","426","NASCAR iRacing National Series","100","0","230"
"2","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","386349","386349","Tanner W Allen","10","13","0","Running","-00.031","2","","48.590","47.624","3","20","4","219","20","1","16","Pennsylvania","3650","3745","14","245","14","242","NASCAR iRacing National Series","100","0","219"
"3","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","77390","77390","Jordan Werth","2","4","0","Running","-00.056","0","","48.591","47.917","2","20","4","209","18","1","22","Florida","5116","5168","15","311","15","307","NASCAR iRacing National Series","100","0","209"
"4","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","68675","68675","Riley Roush","4","17","0","Running","-00.106","4","","48.594","47.916","2","20","4","198","16","2","27","Indiana","3358","3443","14","247","14","244","NASCAR iRacing National Series","100","0","198"
"5","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","141337","141337","Carson Hocevar","3","1","0","Running","-00.150","4","","48.596","47.854","18","20","4","188","14","1","28","Michigan","6486","6495","17","144","17","139","NASCAR iRacing National Series","100","0","188"
"6","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","29755","29755","Randall Robertson","7","7","0","Running","-00.172","0","","48.597","47.691","20","20","0","177","12","1","23","Mid-South","4300","4344","19","361","19","368","NASCAR iRacing National Series","100","0","177"
"7","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","342240","342240","Charles Seals","12","9","0","Running","-00.204","0","","48.598","47.641","3","20","2","167","10","1","23","Mid-South","4223","4260","17","166","17","169","NASCAR iRacing National Series","100","0","167"
"8","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","25930","25930","Michael Smith","1","6","0","Running","-00.428","0","","48.610","47.769","20","20","0","156","8","1","17","Virginias","4807","4822","20","499","20","499","NASCAR iRacing National Series","100","0","156"
"9","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","341853","341853","Kyle Meyers","5","5","0","Running","-00.433","0","","48.610","47.824","20","20","0","146","6","1","31","Great Plains","4928","4932","18","256","18","265","NASCAR iRacing National Series","100","0","146"
"10","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","26026","26026","Jestin Mcwhinney","9","10","0","Running","-00.489","1","","48.613","47.636","3","20","0","135","4","1","28","Michigan","4222","4233","19","373","19","380","NASCAR iRacing National Series","100","0","135"
"11","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","183239","183239","Gabriel Mauricio","17","8","0","Running","-14.048","0","","49.290","47.724","3","20","0","125","2","1","45","Brazil","4255","4257","18","237","18","245","NASCAR iRacing National Series","100","0","125"
"12","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","210002","210002","Cole Johnson","15","18","0","Running","-23.151","0","","49.746","47.619","2","20","0","115","0","2","25","Carolina","3138","3159","11","342","11","349","NASCAR iRacing National Series","100","0","115"
"13","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","357376","357376","Calvin A Allison","19","14","0","Running","-23.540","0","","49.765","48.079","3","20","0","104","0","1","25","Carolina","3526","3529","19","325","19","331","NASCAR iRacing National Series","100","0","104"
"14","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","323171","323171","Pablo Diaz","18","12","0","Running","-23.580","0","","49.767","48.007","3","20","0","94","0","1","38","Iberia","3650","3642","18","234","18","243","NASCAR iRacing National Series","100","0","94"
"15","24","NASCAR K&N Pro Chevrolet Impala","21","K&N Series","29827","29827","Brad Bubel","8","20","0","Running","-23.625","0","","49.770","47.899","11","20","4","83","0","2","30","Texas","3109","3106","15","350","15","343","NASCAR iRacing National Series","100","0","83"
