"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.11.20 2:00 AM GMT","Charlotte Motor Speedway - Oval - 2018","NASCAR iRacing Pro Series","2019","4","N/A","5","6234",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15564","15564","John Gorlinsky","9","21","0","Running","-00.000","14","","44.359","28.815","152","152","1","44","0","0","25","Carolina","6326","6423","23","310","23","349","NASCAR iRacing Pro Series","100","0","44"
"2","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","43417","43417","Nathan Lyon","5","47","0","Running","-00.100","94","","44.360","28.801","152","152","0","41","0","0","31","Great Plains","6693","6777","24","465","24","498","NASCAR iRacing Pro Series","100","0","41"
"3","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","161571","161571","Caine Cook","35","55","0","Running","-00.470","0","","44.362","28.854","152","152","1","38","0","0","31","Great Plains","6497","6580","24","460","24","483","NASCAR iRacing Pro Series","100","0","38"
"4","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","58691","58691","Brandon Hayse Kettelle","31","80","0","Running","-00.724","0","","44.364","28.984","119","152","16","37","0","0","22","Florida","5042","5153","22","268","22","226","NASCAR iRacing Pro Series","100","0","37"
"5","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15903","15903","Steve Sheehan","20","6","0","Running","-00.905","0","","44.365","28.931","119","152","8","36","0","0","25","Carolina","6553","6625","23","368","23","352","NASCAR iRacing Pro Series","100","0","36"
"6","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","88718","88718","Kollin Keister","34","25","0","Running","-01.066","0","","44.366","28.944","119","152","10","35","0","0","18","Atlantic","7237","7289","24","446","24","413","NASCAR iRacing Pro Series","100","0","35"
"7","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15877","15877","Bob Bryant","13","53","0","Running","-01.217","0","","44.367","28.862","119","152","17","34","0","0","23","Mid-South","5888","5964","23","372","23","306","NASCAR iRacing Pro Series","100","0","34"
"8","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","16904","16904","Bryan Blackford","14","32","0","Running","-01.379","0","","44.545","29.001","119","152","9","33","0","0","22","Florida","6939","6987","22","295","22","280","NASCAR iRacing Pro Series","100","0","33"
"9","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","34809","34809","Michael Guest","4","54","0","Running","-01.533","0","","44.369","28.904","119","152","8","32","0","0","27","Indiana","6266","6323","24","499","24","460","NASCAR iRacing Pro Series","100","0","32"
"10","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","251202","251202","Alex McCollum3","10","91","0","Running","-01.669","0","","44.126","29.147","2","152","12","31","0","0","19","New Jersey","7386","7414","24","421","23","345","NASCAR iRacing Pro Series","100","0","31"
"11","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","179758","179758","Santiago Tirres","28","18","0","Running","-01.877","0","","44.371","29.021","119","152","8","30","0","0","25","Carolina","6324","6370","23","359","23","346","NASCAR iRacing Pro Series","100","0","30"
"12","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15687","15687","Ray Alfalla","18","2","0","Running","-02.124","0","","44.373","29.142","119","152","15","29","0","0","22","Florida","7868","7875","24","474","24","404","NASCAR iRacing Pro Series","100","0","29"
"13","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","41075","41075","Brad Mahar","12","34","0","Running","-02.873","0","","44.378","29.052","119","152","8","28","0","0","12","New England","7409","7420","23","376","23","358","NASCAR iRacing Pro Series","100","0","28"
"14","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","90451","90451","Ashton Crowder","6","27","0","Running","-02.910","0","","44.378","28.950","56","152","12","27","0","0","25","Carolina","6697","6718","24","421","23","345","NASCAR iRacing Pro Series","100","0","27"
"15","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","104680","104680","Nickolas Shelton","36","12","0","Running","-02.943","0","","44.378","29.196","2","152","11","26","0","0","23","Mid-South","6168","6196","22","241","22","234","NASCAR iRacing Pro Series","100","0","26"
"16","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","191057","191057","Will Cooley","33","00","0","Running","-03.201","0","","44.380","29.144","119","152","11","25","0","0","25","Carolina","6675","6686","23","324","23","306","NASCAR iRacing Pro Series","100","0","25"
"17","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","222922","222922","Graham A. Bowlin","11","41","0","Running","-03.636","0","","44.383","29.042","2","152","10","24","0","0","30","Texas","7364","7356","23","333","23","318","NASCAR iRacing Pro Series","100","0","24"
"18","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","126971","126971","Braden Boulos","8","01","0","Running","-03.676","0","","44.383","29.034","2","152","14","23","0","0","27","Indiana","7081","7074","23","315","22","247","NASCAR iRacing Pro Series","100","0","23"
"19","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15852","15852","Chris Shearburn","7","36","0","Running","-03.748","0","","44.384","29.006","2","152","9","22","0","0","26","Illinois","7040","7029","24","487","24","446","NASCAR iRacing Pro Series","100","0","22"
"20","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","97243","97243","Logan Kress","24","31","0","Running","-03.820","0","","44.384","29.261","119","152","20","21","0","0","12","New England","6225","6226","21","157","21","124","NASCAR iRacing Pro Series","100","0","21"
"21","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","80543","80543","Casey Tucker","15","28","0","Running","-04.080","0","","44.386","28.977","119","152","5","20","0","0","21","Georgia","6011","6012","23","338","23","349","NASCAR iRacing Pro Series","100","0","20"
"22","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","167354","167354","Liam Brotherton","1","10","0","Running","-04.210","2","","44.387","28.987","2","152","20","20","0","0","23","Mid-South","6460","6446","22","257","22","203","NASCAR iRacing Pro Series","100","0","20"
"23","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","160763","160763","Eric J. Smith","27","51","0","Running","-04.539","0","","44.362","29.016","119","152","13","18","0","0","25","Carolina","6281","6265","23","316","22","252","NASCAR iRacing Pro Series","100","0","18"
"24","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","15780","15780","Brian Schoenburg","16","5","0","Running","-04.637","0","","44.390","29.097","126","152","22","17","0","0","6","California Club","7024","6987","23","345","22","231","NASCAR iRacing Pro Series","100","0","17"
"25","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","92727","92727","David Shutt","38","42","0","Running","-04.724","0","","44.390","29.141","2","152","16","16","0","0","26","Illinois","4921","4924","23","323","22","243","NASCAR iRacing Pro Series","100","0","16"
"26","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","31096","31096","Jeremy B Davis","17","64","0","Running","-04.825","0","","44.391","29.122","119","152","19","15","0","0","6","California Club","5527","5512","23","383","23","301","NASCAR iRacing Pro Series","100","0","15"
"27","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","52025","52025","Justin Bolton","19","98","0","Running","-05.102","0","","44.393","29.091","119","152","19","14","0","0","25","Carolina","7551","7487","24","499","24","400","NASCAR iRacing Pro Series","100","0","14"
"28","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","32765","32765","Adam Gilliland","26","8","0","Running","-06.731","1","","44.403","29.143","119","152","7","14","0","0","30","Texas","6568","6520","23","305","23","312","NASCAR iRacing Pro Series","100","0","14"
"29","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","143851","143851","Michael Guariglia","22","15","0","Running","-07.211","0","","44.407","29.085","119","152","14","12","0","0","25","Carolina","6358","6309","23","336","23","300","NASCAR iRacing Pro Series","100","0","12"
"30","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","97082","97082","Corey A Carpenter","37","30","0","Running","-10.474","0","","44.428","29.194","2","152","18","11","0","0","25","Carolina","6049","6002","23","395","23","311","NASCAR iRacing Pro Series","100","0","11"
"31","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","58919","58919","Cody Byus","2","24","32","Disconnected","-6 L","40","","43.461","28.977","2","146","11","11","0","0","16","Pennsylvania","6755","6687","24","499","24","492","NASCAR iRacing Pro Series","100","0","11"
"32","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","29895","29895","Jeremy R Allen","3","08","32","Disconnected","-6 L","0","","43.462","28.828","119","146","5","9","0","0","27","Indiana","7098","7017","24","453","24","447","NASCAR iRacing Pro Series","100","0","9"
"33","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","151476","151476","Benjamin W. Nelson","29","33","0","Running","-19 L","0","","50.884","29.224","2","133","9","8","0","0","25","Carolina","6240","6173","23","311","23","302","NASCAR iRacing Pro Series","100","0","8"
"34","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","51575","51575","Timmy Hill","25","56","0","Running","-31 L","1","","38.341","29.161","119","121","8","8","0","0","18","Atlantic","5725","5664","22","241","22","241","NASCAR iRacing Pro Series","100","0","8"
"35","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","43733","43733","Chris Overland","21","02","0","Running","-33 L","0","","38.336","29.060","119","119","9","6","0","0","30","Texas","6059","5985","23","329","23","312","NASCAR iRacing Pro Series","100","0","6"
"36","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","87660","87660","Ethan Lane","23","26","32","Disconnected","-33 L","0","","38.337","29.088","119","119","7","5","0","0","25","Carolina","5437","5372","22","284","22","276","NASCAR iRacing Pro Series","100","0","5"
"37","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","46206","46206","Matthew Wright2","30","13","32","Disconnected","-50 L","0","","35.025","29.262","2","102","0","4","0","0","14","New York","4815","4758","23","304","23","335","NASCAR iRacing Pro Series","100","0","4"
"38","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","132004","132004","Adam Benefiel","32","81","32","Disconnected","-94 L","0","","37.442","29.153","2","58","7","3","0","0","23","Mid-South","4092","4044","22","227","22","213","NASCAR iRacing Pro Series","100","0","3"
