"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.12.11 2:00 AM GMT","Darlington Raceway","NASCAR iRacing Pro Series","2019","4","N/A","6","6198",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15687","15687","Ray Alfalla","9","2","0","Running","-00.000","7","","34.292","27.196","125","125","0","44","0","0","22","Florida","7626","7695","24","416","24","443","NASCAR iRacing Pro Series","100","0","44"
"2","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","222922","222922","Graham A. Bowlin","5","41","0","Running","-00.129","83","","34.293","27.090","76","125","0","41","0","0","30","Texas","7379","7448","23","356","23","393","NASCAR iRacing Pro Series","100","0","41"
"3","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","90451","90451","Ashton Crowder","6","27","0","Running","-00.544","0","","34.296","27.263","76","125","0","38","0","0","25","Carolina","6718","6796","23","345","23","382","NASCAR iRacing Pro Series","100","0","38"
"4","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","161571","161571","Caine Cook","1","55","0","Running","-00.718","30","","34.297","27.083","2","125","0","38","0","0","31","Great Plains","6702","6776","23","368","24","448","NASCAR iRacing Pro Series","100","0","38"
"5","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15852","15852","Chris Shearburn","4","36","0","Running","-00.851","0","","34.298","27.301","2","125","0","36","0","0","26","Illinois","7029","7091","24","446","24","472","NASCAR iRacing Pro Series","100","0","36"
"6","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","29895","29895","Jeremy R Allen","14","08","0","Running","-01.227","0","","34.301","27.371","76","125","0","35","0","0","27","Indiana","6931","6989","23","364","24","443","NASCAR iRacing Pro Series","100","0","35"
"7","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","15877","15877","Bob Bryant","36","53","0","Running","-01.238","0","","34.301","27.516","78","125","0","34","0","0","23","Mid-South","5995","6069","22","249","23","342","NASCAR iRacing Pro Series","100","0","34"
"8","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","58919","58919","Cody Byus","3","24","0","Running","-01.280","0","","34.343","27.242","2","125","0","33","0","0","16","Pennsylvania","6984","7031","24","499","24","499","NASCAR iRacing Pro Series","100","0","33"
"9","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","52025","52025","Justin Bolton","15","98","0","Running","-01.351","0","","34.302","27.271","76","125","0","32","0","0","25","Carolina","7600","7629","23","364","24","444","NASCAR iRacing Pro Series","100","0","32"
"10","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","15780","15780","Brian Schoenburg","18","5","0","Running","-01.477","0","","34.303","27.421","76","125","4","31","0","0","6","California Club","6987","7023","22","232","22","257","NASCAR iRacing Pro Series","100","0","31"
"11","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","160763","160763","Eric J. Smith","16","51","0","Running","-01.667","0","","34.305","27.328","77","125","4","30","0","0","25","Carolina","5932","5986","22","239","22","263","NASCAR iRacing Pro Series","100","0","30"
"12","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","179758","179758","Santiago Tirres","24","18","0","Running","-01.750","0","","34.306","27.466","125","125","4","29","0","0","25","Carolina","6370","6409","23","346","23","344","NASCAR iRacing Pro Series","100","0","29"
"13","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","43733","43733","Chris Overland","20","02","0","Running","-01.863","0","","34.306","27.475","36","125","0","28","0","0","30","Texas","5858","5903","22","201","22","253","NASCAR iRacing Pro Series","100","0","28"
"14","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","88718","88718","Kollin Keister","31","25","0","Running","-02.000","0","","34.307","27.563","78","125","6","27","0","0","18","Atlantic","8183","8175","24","469","24","442","NASCAR iRacing Pro Series","100","0","27"
"15","115","NASCAR XFINITY Ford Mustang","1455","XFINITY Series","80543","80543","Casey Tucker","21","28","0","Running","-02.048","0","","34.308","27.526","3","125","0","26","0","0","21","Georgia","6258","6284","24","426","24","453","NASCAR iRacing Pro Series","100","0","26"
"16","116","NASCAR XFINITY Toyota Supra","1455","XFINITY Series","191057","191057","Will Cooley","26","00","0","Running","-02.095","1","","34.308","27.222","75","125","0","26","0","0","25","Carolina","6691","6702","23","321","23","358","NASCAR iRacing Pro Series","100","0","26"
"17","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","132004","132004","Adam Benefiel","19","81","0","Running","-02.266","0","","34.310","27.487","77","125","0","24","0","0","23","Mid-South","3935","3999","21","159","22","275","NASCAR iRacing Pro Series","100","0","24"
"18","114","NASCAR XFINITY Chevrolet Camaro","1455","XFINITY Series","31096","31096","Jeremy B Davis","38","64","0","Running","-03.092","0","","34.316","27.517","36","125","8","23","0","0","6","California Club","5139","5174","22","278","22","267","NASCAR iRacing Pro Series","100","0","23"
